date,close_price,signal,position,cash,portfolio_value,unrealized_pnl,realized_pnl,volatility_percentile,asset_volatility,drawdown_breach,days_since_signal,returns,cumulative_returns,drawdown
2024-06-24,358.2,0,0.0,1019820.960243665,1019820.960243665,0.0,0.0,52.63157894736842,0.5,False,1,0.01008408356666024,0.019820960243664754,-0.005532984501880413
2024-08-02,351.0,0,0.0,1019820.960243665,1019820.960243665,0.0,0.0,35.3448275862069,0.5,False,2,0.0,0.019820960243664754,-0.005532984501880413
2024-09-06,351.0,0,0.0,1019820.960243665,1019820.960243665,0.0,0.0,29.059829059829063,0.5,False,3,0.0,0.019820960243664754,-0.005532984501880413
2024-10-04,353.6,0,0.0,1019820.960243665,1019820.960243665,0.0,0.0,36.440677966101696,0.5,False,4,0.0,0.019820960243664754,-0.005532984501880413
2024-11-06,350.0,1,84242.35327054812,1011392.5127989467,1019820.960243665,0.0,0.0,21.84873949579832,0.5,False,0,0.0,0.019820960243664754,-0.005532984501880413
2024-11-20,360.6,1,84242.35327054812,1011392.5127989467,1013943.8526408548,2551.339841908034,0.0,21.84873949579832,0.5,False,1,-0.00576288175270101,0.013943852640854626,-0.011263980319157573
2024-11-21,352.0,1,84242.35327054812,1011392.5127989467,1011873.8976747784,481.38487583170354,0.0,21.84873949579832,0.5,False,2,-0.0020414887478089616,0.011873897674778311,-0.013282473777889476
2025-01-15,352.6,0,0.0,1020438.3363469192,1012018.3131375279,625.8003385812201,625.8003385812201,44.62809917355372,0.5,False,0,0.00014272081045030305,0.012018313137527992,-0.013141648652861642
2025-04-03,362.0,1,127390.20521492187,1007692.9463151663,1020438.3363469192,0.0,0.0,11.29032258064516,0.5,False,0,0.008320030477795282,0.02043833634691916,-0.004930957092386572
2025-04-11,361.0,1,127390.20521492187,1007692.9463151663,1007341.0396709262,-351.90664424011567,0.0,11.29032258064516,0.5,False,1,-0.012834971217251745,0.007341039670926142,-0.01770263961728408
2025-04-16,363.0,1,127390.20521492187,1007692.9463151663,1008044.8529594064,351.90664424011567,0.0,11.29032258064516,0.5,False,2,0.0006986842199045995,0.008044852959406601,-0.017016323952330825
2025-04-22,370.0,1,127390.20521492187,1007692.9463151663,1010508.1994690872,2815.2531539209253,0.0,11.29032258064516,0.5,False,3,0.0024436874038380463,0.01050819946908721,-0.014614219124994663
2025-05-22,362.8,0,0.0,1020707.1226417898,1007974.4716305584,281.52531539209656,281.52531539209656,42.4,0.5,False,0,-0.002507379791534592,0.00797447163055831,-0.017084955518826196
2025-05-27,363.8,0,0.0,1020707.1226417898,1020707.1226417898,0.0,0.0,42.4,0.5,False,1,0.012631918138397369,0.020707122641789866,-0.004668853139940882
2025-05-29,364.8,0,0.0,1020707.1226417898,1020707.1226417898,0.0,0.0,42.4,0.5,False,2,0.0,0.020707122641789866,-0.004668853139940882
2025-06-11,365.2,0,0.0,1020707.1226417898,1020707.1226417898,0.0,0.0,26.190476190476193,0.5,False,3,0.0,0.020707122641789866,-0.004668853139940882
2025-06-13,363.2,0,0.0,1020707.1226417898,1020707.1226417898,0.0,0.0,26.190476190476193,0.5,False,4,0.0,0.020707122641789866,-0.004668853139940882
2025-06-20,365.2,0,0.0,1020707.1226417898,1020707.1226417898,0.0,0.0,26.190476190476193,0.5,False,5,0.0,0.020707122641789866,-0.004668853139940882
2025-07-29,364.6,1,53004.43680175279,1015404.0287397745,1020707.1226417898,0.0,0.0,16.535433070866144,0.5,False,0,0.0,0.020707122641789866,-0.004668853139940882
